case_id,message_id,user_id_original,pais_usuario,country_iso,direction,text_original,language_detected,sentiment_score,sentiment_label,primary_emotion,topics,max_severity,regulatory_flags,escalation_needed_llm,priority_llm,priority_math,priority_final,priority_policy,severe_risk_signals,resolved_override,score_base,score_final,confidence,model_used,tokens_in,tokens_out,latency_ms,cost_usd,analyzed_at,analysis_status
CASE-001,MSG-001,USR-772,Chile,CL,INBOUND,"""Hice un envío a Colombia hace 3 días y sigue pendiente.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-001,MSG-002,AGENT-01,Chile,CL,OUTBOUND,"""Hola, estamos revisando con el banco de destino. Danos 24h.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-001,MSG-003,USR-772,Chile,CL,INBOUND,"""¡Ya pasaron las 24h! Mi familia necesita la plata para una cirugía hoy.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-001,MSG-004,USR-772,Chile,CL,INBOUND,"""¿Por qué nadie me responde? Es una emergencia médica, ¡por favor!""",es,-0.9,very_negative,anger,"support_quality, transfers",1.0,consumer_protection,True,p1,,p1,,,,0.985,1.0,0.95,gemini-2.5-flash-lite,3277,250,71058,0.0004277,2026-05-01 14:12:57,ok
CASE-002,MSG-005,USR-105,USA,US,INBOUND,"""I need to change my bank account details for a refund.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-002,MSG-006,AGENT-03,USA,US,OUTBOUND,"""Please send us your new account number and ID photo.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-002,MSG-007,USR-105,USA,US,INBOUND,"""Here is the photo. I'm in a rush because I'm traveling tonight.""",en,-0.5,negative,frustration,"account_management, kyc_onboarding",0.3,,True,p3,,p3,,,,0.2375,0.3562,0.9,gemini-2.5-flash-lite,3245,223,9573,0.0004137,2026-05-01 14:11:57,ok
CASE-003,MSG-008,USR-901,Perú,PE,INBOUND,"""Me bloquearon la cuenta. Estaba pagando la luz y me sacó de la app.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-003,MSG-009,AGENT-01,Perú,PE,OUTBOUND,"""Detectamos un inicio de sesión sospechoso. ¿Fuiste tú?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-003,MSG-010,USR-901,Perú,PE,INBOUND,"""No, dice que entraron desde Rusia. ¡Bloqueen todo por favor!""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
